SRCID,OBSID,SRC_NUM,EP_ONTIME,INST,PN_RATE,CONF_DT50,CONF_DT250,CONF_DT1000
208039104010061,803910401,61,85094.58,PNX,0.0101729315,0.9999863,0.9999877,0.9999248
207611001010171,790380601,101,116691.4,PNX,0.010241167,0.99998844,0.9999989,0.99935573
207277801010041,790380601,65,116694.1,PNX,0.012003419,0.99999976,0.9999893,0.99943537
206006901010002,600690101,2,67463.66,PNX,0.05061501,0.99999976,1.0,0.9999938
207623601010011,762360101,11,74658.97,PNS,0.010894436,0.99986076,0.999925,0.9999945
202001301010080,761630301,55,90376.0,PNX,0.013568533,0.99974257,0.99998236,0.9999993
202038101010056,300270201,83,76070.78,PNX,0.014957041,0.9999409,0.9999981,0.99960166
203025001010015,302500101,18,75952.2,PNS,0.014451717,0.999892,0.99997437,0.9998135
201489601010082,148960101,83,55770.04,PNX,0.012192389,0.9999968,0.99999857,0.99996734
200823401010018,203560201,12,69360.94,PNX,0.013097202,0.99904543,0.99998486,0.99997747
203002702015058,300270201,60,76070.74,PNX,0.014013138,0.99997246,0.99999917,0.99942696
201489601010013,148960101,13,55790.88,PNS,0.02157924,0.9999285,0.99999726,0.9999907
201128002010026,791010301,31,63973.0,PNS,0.010915902,0.99982965,0.9999696,0.99985516
207812103010013,781210301,13,66177.83,PNX,0.011552862,0.9999447,0.999948,0.99990845
200147406010008,401090101,12,61208.82,PNX,0.012984019,0.99985766,0.9999398,0.99983835
208246101010130,824610201,113,77837.96,PNX,0.010116032,0.9997621,0.9999964,0.999731
207903806010071,790380601,71,116691.4,PNX,0.015807142,0.99952626,0.99997735,0.99957055
207444503010033,744450301,36,86592.24,PNS,0.012983035,0.9999403,0.9999963,0.9990683
201084602010038,147330101,52,61692.85,PNS,0.01516615,0.99997187,0.99999547,0.9999639
203002702010054,300270201,56,75903.66,PNX,0.015866164,0.9999876,0.99990404,0.9997545
207640101010051,764010101,49,73428.73,PNX,0.016088407,0.99984396,0.99999774,0.9993938
201125506010071,761630301,76,90376.0,PNS,0.011560422,0.9998393,0.99998784,0.9999951
201010401010056,741280201,38,86239.4,PNX,0.0114359865,0.99999774,0.9999831,0.99959093
201125227010058,824610201,58,77822.35,PNX,0.012943884,0.9999379,0.9999807,0.999961
207616301010108,761630101,108,101095.0,PNS,0.013459787,0.9999546,0.99995637,1.0
205560301010016,651610101,98,84332.83,PNX,0.016224844,0.9999486,0.99999845,0.9999949
208244505010058,824450501,58,77998.95,PNS,0.012850129,0.9999403,0.9999994,0.99982613
207616301015189,761630301,155,90363.0,PNS,0.0093061505,0.9999845,0.99999917,1.0
201129706010013,202670701,33,110297.2,PNS,0.012279252,0.9999443,0.9999385,0.9999571
202045002010039,502140101,84,77956.77,PNS,0.009264232,0.999859,0.999997,0.9999845
201080604010045,604960301,46,99408.38,PNS,0.0050346083,0.99999976,0.9999958,0.9999927
207615501010035,761550201,27,80739.45,PNS,0.009069363,0.99990404,0.9999894,0.9999871
207615502010109,761550201,81,80729.04,PNS,0.009215545,0.99999,0.99999666,0.99998164
202038101010085,300270201,72,75903.66,PNX,0.0135299,0.99993825,0.9999938,0.9995448
204045402010025,674050101,34,95659.2,PNS,0.014612343,0.9999995,0.99999964,0.99995613
201489601010001,148960101,1,55777.87,PNX,0.037134293,0.99978966,0.999923,0.9996916
202039001010005,203900101,5,88866.33,PNX,0.011867601,0.99988365,0.9999523,0.9994392
208220501010010,822050101,10,51256.4,PNS,0.012003585,0.9995958,0.9999436,0.9998318
206031901010019,770180801,9,71028.07,PNS,0.015398898,0.99996865,1.0,0.99999034
201259601010054,152020101,64,71601.38,PNU,0.011519659,0.99990046,0.99999285,0.99998546
200709401010009,782650101,12,92110.79,PNX,0.019751612,0.9999559,0.9999298,0.9999509
200709401010009,782650101,12,92110.79,PNU,0.019751612,0.9999671,0.99998987,0.99995613
207838901010012,783890101,10,75084.04,PNX,0.016420206,0.99960476,0.999966,0.9998771
206010101010020,844860101,8,101176.4,PNX,0.014734683,0.9996389,0.99990654,0.99981683
207409601010058,831790701,49,102375.0,PNX,0.009765325,0.9999486,0.9999993,0.9997329
201026402010050,672190301,9,107010.8,PNS,0.013837262,0.9997708,0.9999895,0.99961156
208229601010019,822960101,19,76427.6,PNX,0.014440383,0.9999956,0.9999969,0.99914217
207826501010008,782650101,8,92110.79,PNX,0.0112143,0.9999918,0.9999969,0.99967813
202038101010036,300270201,29,76070.74,PNS,0.02047905,0.99966776,0.9999678,0.9992355
203002405010008,694170101,9,106920.6,PNX,0.01665115,0.9999976,1.0,0.9999999
206556701010116,784860101,200,89153.02,PNS,0.011405345,0.9998864,0.99999714,0.99946016
203002702015062,300270201,64,76070.77,PNX,0.015481876,0.99994254,0.99999976,0.9990237
