Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score,Metric Value
"(3, 4, 6, 8, 12)",0.9424444437026978,0.9442999958992004,0.2121212184429168,0.9166666666666666,0.1774193548387097,0.2972972972972973,0.2972972972972973
"(3, 4, 7, 8, 9)",0.9416666626930236,0.9420999884605408,0.9242424368858336,0.8333333333333334,0.7692307692307693,0.8,0.8
"(3, 4, 7, 8, 10)",0.8662777543067932,0.8636000156402588,0.8636363744735718,0.9166666666666666,0.5789473684210527,0.7096774193548387,0.7096774193548387
"(3, 4, 7, 8, 11)",0.5027222037315369,0.5,0.8181818127632141,0.0,0,0,0
"(3, 4, 7, 8, 12)",0.9482222199440002,0.9498000144958496,0.2575757503509521,0.9166666666666666,0.1864406779661017,0.3098591549295775,0.3098591549295775
"(3, 4, 8, 9, 10)",0.9394444227218628,0.9419999718666076,0.9545454382896424,1.0,0.8,0.888888888888889,0.888888888888889
"(3, 4, 8, 9, 11)",0.9491111040115356,0.9503999948501588,0.9545454382896424,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8799999999999999
"(3, 4, 8, 9, 12)",0.949833333492279,0.9492999911308287,0.3939394056797027,0.9166666666666666,0.22,0.3548387096774193,0.3548387096774193
"(3, 4, 8, 10, 11)",0.9478333592414856,0.9501000046730042,0.939393937587738,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
"(3, 4, 8, 10, 12)",0.9334444403648376,0.9355999827384948,0.2424242496490478,0.9166666666666666,0.1833333333333333,0.3055555555555556,0.3055555555555556
"(3, 4, 8, 11, 12)",0.9461110830307008,0.9501000046730042,0.7575757503509521,0.9166666666666666,0.4230769230769231,0.5789473684210527,0.5789473684210527
"(3, 5, 6, 7, 8)",0.9396111369132996,0.9426000118255616,0.9242424368858336,1.0,0.7058823529411765,0.8275862068965517,0.8275862068965517
"(3, 5, 6, 8, 9)",0.5086666941642761,0.5,0.8181818127632141,0.0,0,0,0
"(3, 5, 6, 8, 10)",0.9284444451332092,0.9265000224113464,0.9242424368858336,1.0,0.7058823529411765,0.8275862068965517,0.8275862068965517
"(3, 5, 6, 8, 11)",0.9481111168861388,0.9502000212669371,0.9545454382896424,0.8333333333333334,0.9090909090909092,0.8695652173913043,0.8695652173913043
"(3, 5, 6, 8, 12)",0.9423888921737671,0.9441999793052673,0.21212121844291687,0.9166666666666666,0.1774193548387097,0.2972972972972973,0.2972972972972973
"(3, 5, 7, 8, 9)",0.9408888816833496,0.9444000124931335,0.8484848737716675,0.9166666666666666,0.55,0.6874999999999999,0.6874999999999999
"(3, 5, 7, 8, 10)",0.928166687488556,0.9348000288009644,0.9242424368858336,1.0,0.7058823529411765,0.8275862068965517,0.8275862068965517
"(3, 5, 7, 8, 11)",0.9497222304344176,0.9501000046730042,0.9696969985961914,0.8333333333333334,1.0,0.9090909090909092,0.9090909090909092
"(3, 5, 7, 8, 12)",0.9463889002799988,0.949400007724762,0.2575757503509521,0.9166666666666666,0.1864406779661017,0.3098591549295775,0.3098591549295775
"(3, 5, 8, 9, 10)",0.9087222218513488,0.9083999991416932,0.8636363744735718,1.0,0.5714285714285714,0.7272727272727273,0.7272727272727273
"(3, 5, 8, 9, 11)",0.9476110935211182,0.9503999948501588,0.939393937587738,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
"(3, 5, 8, 9, 12)",0.9457777738571168,0.9492999911308287,0.4242424368858337,0.9166666666666666,0.2291666666666666,0.3666666666666666,0.3666666666666666
"(3, 5, 8, 10, 11)",0.9483333230018616,0.949999988079071,0.9242424368858336,0.9166666666666666,0.7333333333333333,0.8148148148148148,0.8148148148148148
"(3, 5, 8, 10, 12)",0.9327222108840942,0.9325000047683716,0.409090906381607,1.0,0.2352941176470588,0.3809523809523809,0.3809523809523809
"(3, 5, 8, 11, 12)",0.9471666812896729,0.9502000212669371,0.7878788113594055,0.9166666666666666,0.4583333333333333,0.611111111111111,0.611111111111111
"(3, 6, 7, 8, 9)",0.9447222352027892,0.9459999799728394,0.8939393758773804,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.7586206896551724
