Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score
"(1, 5, 13)",0.9286110997200012,0.9246000051498412,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(1, 6, 7)",0.4977777898311615,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 6, 8)",0.5021666884422302,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 6, 9)",0.4987777769565582,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 6, 10)",0.4958333373069763,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 6, 11)",0.9174444675445556,0.9182000160217284,0.739130437374115,0.8461538461538461,0.4074074074074074,0.5499999999999999
"(1, 6, 12)",0.9116666913032532,0.9124000072479248,0.2028985470533371,1.0,0.1911764705882352,0.32098765432098747
"(1, 6, 13)",0.9365000128746032,0.9319999814033508,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(1, 7, 8)",0.4989444315433502,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 7, 9)",0.4968888759613037,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 7, 10)",0.898277759552002,0.8962000012397766,0.739130437374115,1.0,0.4193548387096774,0.5909090909090908
"(1, 7, 11)",0.4992777705192566,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 7, 12)",0.907888889312744,0.9100000262260436,0.2028985470533371,1.0,0.1911764705882352,0.32098765432098747
"(1, 7, 13)",0.9321666955947876,0.9316999912261964,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(1, 8, 9)",0.9309444427490234,0.9276000261306764,0.47826087474823,1.0,0.2653061224489796,0.41935483870967744
"(1, 8, 10)",0.9183889031410216,0.916100025177002,0.7246376872062683,1.0,0.40625,0.5777777777777777
"(1, 8, 11)",0.9244444370269777,0.9223999977111816,0.782608687877655,0.9230769230769232,0.4615384615384615,0.6153846153846154
"(1, 8, 12)",0.4945000112056732,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 8, 13)",0.4979999959468841,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 9, 10)",0.921055555343628,0.9205999970436096,0.4637681245803833,0.9230769230769232,0.25,0.39344262295081966
"(1, 9, 11)",0.9332777857780457,0.9316999912261964,0.6666666865348816,0.9230769230769232,0.3529411764705882,0.5106382978723404
"(1, 9, 12)",0.9232222437858582,0.9225000143051147,0.4347825944423675,0.9230769230769232,0.24,0.380952380952381
"(1, 9, 13)",0.9365000128746032,0.9340000152587892,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(1, 10, 11)",0.4980555474758148,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 10, 12)",0.4933888912200928,0.5,0.8115941882133484,0.0,0.0,0.0
"(1, 10, 13)",0.8982222080230713,0.900600016117096,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(1, 11, 12)",0.9141666889190674,0.915499985218048,0.7971014380455017,0.8461538461538461,0.4782608695652174,0.6111111111111112
"(1, 11, 13)",0.921500027179718,0.9240999817848206,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(1, 12, 13)",0.9377777576446532,0.9340999722480774,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(2, 3, 4)",0.5034444332122803,0.5,0.8115941882133484,0.0,0.0,0.0
"(2, 3, 5)",0.9340000152587892,0.9312000274658204,0.2898550629615783,1.0,0.2096774193548387,0.3466666666666666
"(2, 3, 6)",0.507444441318512,0.5,0.8115941882133484,0.0,0.0,0.0
"(2, 3, 7)",0.5016111135482788,0.5,0.7971014380455017,0.0,0.0,0.0
"(2, 3, 8)",0.4954444468021393,0.5,0.8115941882133484,0.0,0.0,0.0
"(2, 3, 9)",0.9331666827201844,0.9316999912261964,0.2753623127937317,1.0,0.2063492063492063,0.3421052631578947
"(2, 3, 10)",0.4998888969421386,0.5005000233650208,0.8260869383811951,0.0769230769230769,1.0,0.14285714285714282
"(2, 3, 11)",0.934499979019165,0.9355999827384948,0.4927536249160766,0.9230769230769232,0.2608695652173913,0.4067796610169492
"(2, 3, 12)",0.914555549621582,0.9178000092506408,0.3188405930995941,1.0,0.2166666666666666,0.35616438356164376
"(2, 3, 13)",0.9375555515289308,0.9370999932289124,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(2, 4, 5)",0.5001111030578613,0.5,0.8115941882133484,0.0,0.0,0.0
"(2, 4, 6)",0.8923888802528381,0.8934000134468079,0.6521739363670349,0.9230769230769232,0.3428571428571428,0.4999999999999999
"(2, 4, 7)",0.9040555357933044,0.9043999910354614,0.6666666865348816,0.9230769230769232,0.3529411764705882,0.5106382978723404
"(2, 4, 8)",0.9290000200271606,0.9276999831199646,0.5507246255874634,1.0,0.2954545454545454,0.45614035087719296
"(2, 4, 9)",0.9253888726234436,0.9258000254631042,0.4492753744125366,1.0,0.2549019607843137,0.40625
"(2, 4, 10)",0.7308333516120911,0.7373999953269958,0.6666666865348816,0.9230769230769232,0.3529411764705882,0.5106382978723404
"(2, 4, 11)",0.933055579662323,0.9315999746322632,0.5942028760910034,0.9230769230769232,0.3076923076923077,0.4615384615384616
